Timestamp,Gender,Coffee_Temp,Days_Coffee_Consumed,Coffee_Consumed
4/15/2025 9:52:51,Female,Iced,4,6
4/15/2025 9:53:05,Male,Hot,2,3
4/15/2025 9:53:14,Female,Iced,3,3
4/15/2025 9:53:26,Female,Iced,2,3
4/15/2025 9:53:36,Male,Hot,2,3
4/15/2025 9:59:23,Female,Hot,5,5
4/15/2025 9:59:45,Female,Hot,3,4
4/15/2025 10:00:12,Male,Hot,6,6
4/15/2025 10:00:38,Female,Iced,7,7
4/15/2025 10:00:56,Male,Hot,7,7
4/15/2025 10:01:16,Male,Hot,7,9
4/15/2025 10:01:43,Male,Hot,5,5
4/15/2025 10:02:04,Male,Iced,7,10
4/15/2025 10:02:17,Female,Hot,7,7
4/15/2025 10:02:38,Female,Hot,4,4
4/15/2025 10:02:54,Male,Hot,5,5
4/15/2025 10:03:37,Female,Hot,7,7
4/15/2025 10:03:50,Female,,2,2
4/15/2025 10:05:34,Female,Hot,4,4
4/15/2025 10:06:07,Female,Hot,6,9
4/15/2025 10:06:21,Male,Hot,5,7
4/15/2025 10:06:35,Female,Iced,3,4
4/15/2025 10:06:44,Male,Hot,6,9
4/15/2025 10:06:51,Male,Hot,7,20
4/15/2025 10:07:00,Male,Hot,7,18
4/15/2025 10:07:03,Male,Iced,4,4
4/15/2025 10:07:16,Male,Hot,5,10
4/15/2025 10:07:26,Female,Hot,2,2
4/15/2025 10:07:29,Male,Hot,5,7
4/15/2025 10:07:37,Male,Hot,7,10
4/15/2025 10:07:52,Female,Iced,5,11
4/15/2025 10:07:57,Male,Hot,7,10
4/15/2025 10:08:21,Male,Hot,7,7
4/15/2025 10:08:38,Female,Hot,5,5
4/15/2025 10:11:04,Female,Hot,4,5
4/15/2025 10:11:23,Female,Hot,5,5
4/15/2025 10:11:40,Male,Hot,7,9
4/15/2025 10:12:01,Female,Hot,2,3
4/15/2025 10:12:02,Male,Hot,5,5
4/15/2025 10:12:12,Female,Hot,3,3
4/15/2025 10:12:26,Female,Hot,5,6
4/15/2025 10:12:32,Female,Hot,5,5
4/15/2025 10:12:35,Female,Iced,6,7
4/15/2025 10:12:49,Male,Hot,7,7
4/15/2025 10:13:07,Male,Iced,7,9
4/15/2025 10:13:37,Female,Iced,7,7
4/15/2025 10:13:53,Female,Hot,3,3
4/15/2025 10:14:09,Female,Hot,7,7
4/15/2025 10:14:50,Male,Hot,7,10
4/15/2025 10:15:04,Male,Iced,5,5
4/15/2025 10:15:23,Female,Iced,5,7
4/15/2025 10:16:39,Female,Hot,3,3
4/15/2025 10:17:02,Female,Iced,6,8
4/15/2025 10:17:40,Male,Iced,6,6
4/15/2025 10:18:19,Female,Hot,4,6
4/15/2025 10:18:33,Female,Hot,5,7
4/15/2025 10:18:51,Male,Hot,5,8
